Station Id,Today Gen Power,Total Gen Power,Created At
106907,0,0,2021-02-27
84351,0,0,2021-02-27
132948,0,0,2021-02-27
108029,0,0,2021-02-27
75608,11.45,339.47,2021-02-27
82647,42.07,1028.79,2021-02-27
132948,0,0,2021-02-28
108029,0,0,2021-02-28
84351,0,0,2021-02-28
84328,0,0,2021-02-28
90672,0,0,2021-02-28
106907,0,0,2021-02-28
75608,12.77,352.24,2021-02-28
82647,41.18,1049.15,2021-02-28
132948,0,0,2021-03-01
90672,0,0,2021-03-01
106907,0,0,2021-03-01
84351,0,0,2021-03-01
84328,0,0,2021-03-01
82647,40.75,1064.67,2021-03-01
108029,0,0,2021-03-01
75608,9.74,353.77,2021-03-01
84351,0,0,2021-03-11
106907,0,0,2021-03-11
84328,0,0,2021-03-11
90672,0,0,2021-03-11
132948,0,0,2021-03-11
82647,32.81,1107.79,2021-03-11
108029,0,0,2021-03-11
75608,11.41,356.28,2021-03-11
151873,1.14,15.77,2021-03-11
84328,0,0,2021-03-12
84351,0,0,2021-03-12
90672,0,0,2021-03-12
151873,8.38,24.15,2021-03-12
106907,0,0,2021-03-12
132948,0,0,2021-03-12
75608,7.14,353.7,2021-03-12
82647,19.66,1091.98,2021-03-12
108029,0,0,2021-03-12
84328,0,0,2021-03-13
90672,0,0,2021-03-13
106907,0,0,2021-03-13
82647,29.46,1087.47,2021-03-13
75608,11.99,352.73,2021-03-13
84351,0,0,2021-03-13
151873,16.86,41.01,2021-03-13
132948,0,0,2021-03-13
108029,0,0,2021-03-13
84351,0,0,2021-03-14
151873,0.38,41.39,2021-03-14
84328,0,0,2021-03-14
108029,0,0,2021-03-14
132948,0,0,2021-03-14
90672,0,0,2021-03-14
82647,41.86,1102.82,2021-03-14
75608,14.07,355.26,2021-03-14
106907,0,0,2021-03-14
90672,0,0,2021-03-15
84328,0,0,2021-03-15
132948,0,0,2021-03-15
151873,13.9,55.29,2021-03-15
106907,0,0,2021-03-15
82647,40.3,1107.78,2021-03-15
108029,0,0,2021-03-15
75608,13.81,357.12,2021-03-15
84351,0,0,2021-03-15
84351,0,0,2021-03-16
106907,0,0,2021-03-16
90672,0,0,2021-03-16
151873,13.73,69.02,2021-03-16
84328,0,0,2021-03-16
82647,30.42,1101.14,2021-03-16
132948,0,0,2021-03-16
75608,12.65,356.37,2021-03-16
108029,0,0,2021-03-16
106907,0,0,2021-03-17
84328,0,0,2021-03-17
84351,0,0,2021-03-17
90672,0,0,2021-03-17
151873,13.88,82.9,2021-03-17
132948,0,0,2021-03-17
82647,37.89,1100.99,2021-03-17
75608,0,342.7,2021-03-17
108029,0,0,2021-03-17
132948,0,0,2021-03-18
82647,36.3,1111.26,2021-03-18
84351,0,0,2021-03-18
90672,0,0,2021-03-18
84328,0,0,2021-03-18
