421,LS308GI,8000,5695,335,17,1,17,9.35,9.35,651.1,790.5,,,,,,,grid
422,LS308GI,8000,11390,335,17,2,34,9.35,18.7,651.1,790.5,,,,,,,grid
423,LS308GI,8000,6030,335,18,1,18,9.35,9.35,689.4,837,,,,,,,grid
424,LS308GI,8000,12060,335,18,2,36,9.35,18.7,689.4,837,,,,,,,grid
425,LS308GI,8000,4000,400,10,1,10,10.31,10.31,412,497.9,,,,,,,grid
426,LS308GI,8000,8000,400,10,2,20,10.31,20.62,412,497.9,,,,,,,grid
427,LS308GI,8000,4400,400,11,1,11,10.31,10.31,453.2,547.69,,,,,,,grid
428,LS308GI,8000,8800,400,11,2,22,10.31,20.62,453.2,547.69,,,,,,,grid
429,LS308GI,8000,4800,400,12,1,12,10.31,10.31,494.4,597.48,,,,,,,grid
430,LS308GI,8000,9600,400,12,2,24,10.31,20.62,494.4,597.48,,,,,,,grid
431,LS308GI,8000,5200,400,13,1,13,10.31,10.31,535.6,647.27,,,,,,,grid
432,LS308GI,8000,10400,400,13,2,26,10.31,20.62,535.6,647.27,,,,,,,grid
433,LS308GI,8000,5600,400,14,1,14,10.31,10.31,576.8,697.06,,,,,,,grid
434,LS308GI,8000,11200,400,14,2,28,10.31,20.62,576.8,697.06,,,,,,,grid
435,LS308GI,8000,6000,400,15,1,15,10.31,10.31,618,746.85,,,,,,,grid
436,LS308GI,8000,12000,400,15,2,30,10.31,20.62,618,746.85,,,,,,,grid
437,LS308GI,8000,6400,400,16,1,16,10.31,10.31,659.2,796.64,,,,,,,grid
438,LS308GI,8000,6800,400,17,1,17,10.31,10.31,700.4,846.43,,,,,,,grid
439,LS308GI,8000,7200,400,18,1,18,10.31,10.31,741.6,896.22,,,,,,,grid
440,LS310GI,10000,4225,325,13,1,13,9.13,9.13,491.4,600.6,480,850,960,,,,grid
441,LS310GI,10000,8450,325,13,2,26,9.13,18.26,491.4,600.6,,,,,,,grid
442,LS310GI,10000,4550,325,14,1,14,9.13,9.13,529.2,646.8,,,,,,,grid
443,LS310GI,10000,9100,325,14,2,28,9.13,18.26,529.2,646.8,,,,,,,grid
444,LS310GI,10000,4875,325,15,1,15,9.13,9.13,567,693,,,,,,,grid
445,LS310GI,10000,9750,325,15,2,30,9.13,18.26,567,693,,,,,,,grid
446,LS310GI,10000,5200,325,16,1,16,9.13,9.13,604.8,739.2,,,,,,,grid
447,LS310GI,10000,10400,325,16,2,32,9.13,18.26,604.8,739.2,,,,,,,grid
448,LS310GI,10000,5525,325,17,1,17,9.13,9.13,642.6,785.4,,,,,,,grid
449,LS310GI,10000,11050,325,17,2,34,9.13,18.26,642.6,785.4,,,,,,,grid
450,LS310GI,10000,5850,325,18,1,18,9.13,9.13,680.4,831.6,,,,,,,grid
451,LS310GI,10000,11700,325,18,2,36,9.13,18.26,680.4,831.6,,,,,,,grid
452,LS310GI,10000,6175,325,19,1,19,9.13,9.13,718.2,877.8,,,,,,,grid
453,LS310GI,10000,12350,325,19,2,38,9.13,18.26,718.2,877.8,,,,,,,grid
454,LS310GI,10000,6500,325,20,1,20,9.13,9.13,756,924,,,,,,,grid
455,LS310GI,10000,13000,325,20,2,40,9.13,18.26,756,924,,,,,,,grid
456,LS310GI,10000,6825,325,21,1,21,9.13,9.13,793.8,970.2,,,,,,,grid
457,LS310GI,10000,13650,325,21,2,42,9.13,18.26,793.8,970.2,,,,,,,grid
458,LS310GI,10000,7150,325,22,1,22,9.13,9.13,831.6,1016.4,,,,,,,grid
459,LS310GI,10000,14300,325,22,2,44,9.13,18.26,831.6,1016.4,,,,,,,grid
460,LS310GI,10000,7475,325,23,1,23,9.13,9.13,869.4,1062.6,,,,,,,grid
461,LS310GI,10000,4355,335,13,1,13,9.35,9.35,497.9,604.5,,,,,,,grid
462,LS310GI,10000,8710,335,13,2,26,9.35,18.7,497.9,604.5,,,,,,,grid
463,LS310GI,10000,4690,335,14,1,14,9.35,9.35,536.2,651,,,,,,,grid
464,LS310GI,10000,9380,335,14,2,28,9.35,18.7,536.2,651,,,,,,,grid
465,LS310GI,10000,5025,335,15,1,15,9.35,9.35,574.5,697.5,,,,,,,grid
466,LS310GI,10000,10050,335,15,2,30,9.35,18.7,574.5,697.5,,,,,,,grid
